Indicator,Data, Notes
Description,Indicators of compromise related to parcel services smishing campaign,https://x.com/nosec_org/status/1803274761167835465?s=46&t=MAkx8GXuNygM5n7KdF1p_g
ip address,47[.]251[.]61[.]22,phishing web server
domain,austria-post[.]com,phishing site
domain,ups--post[.]shop,phishing site
domain,upspostal[.]org,phishing site
domain,ups-post[.]net,phishing site
domain,opspost[.]shop,phishing site
domain,ups-mexicopostal[.]shop,phishing site
domain,uruguay-post[.]top,phishing site
domain,upspostal[.]top,phishing site
domain,opspost[.]xyz,phishing site
domain,uruguay-post[.]com,phishing site
domain,ups-postal[.]net,phishing site
domain,upspostal[.]net,phishing site
domain,philippines-postal[.]top,phishing site
domain,mxvpostal[.]com,phishing site
domain,fedex-post[.]top,phishing site
domain,ups-mexicopostal[.]org,phishing site
domain,peru--post[.]com,phishing site
domain,philippines-postal[.]com,phishing site
domain,mxapostal[.]org,phishing site
domain,mspost[.]xyz,phishing site
domain,mzxpastal[.]org,phishing site
domain,mexico-upspost[.]xyz,phishing site
domain,mxvpostal[.]net,phishing site
domain,ecuador-post[.]com,phishing site
domain,ecuador-post[.]top,phishing site
domain,ups-postal[.]xyz,phishing site
domain,mzxpastal[.]shop,phishing site
domain,austria-post[.]top,phishing site
domain,mexico-upspost[.]shop,phishing site
domain,peru-postal[.]com,phishing site
domain,cuba-post[.]top,phishing site
domain,msxpostal[.]xyz,phishing site
domain,upspostal[.]xyz,phishing site
domain,saudiarabia-post[.]top,phishing site
domain,ups--postal[.]xyz,phishing site
domain,upspostal[.]shop,phishing site
domain,peru--postal[.]top,phishing site
domain,fedex-postal[.]top,phishing site
domain,israel-postal[.]com,phishing site
domain,ups-postal[.]shop,phishing site
domain,guatemala-post[.]com,phishing site
domain,mspostal[.]xyz,phishing site
domain,mxvpostal[.]xyz,phishing site
domain,costarica-post[.]com,phishing site
domain,romania-post[.]com,phishing site
domain,ups--postal[.]vip,phishing site
domain,ecuador-postal[.]top,phishing site
domain,ups-mexicopostal[.]xyz,phishing site
domain,opspost[.]top,phishing site
domain,ups-postal[.]org,phishing site
,,
